ColorCollectionID,ColorID,ColorName,ColorNumber1,ColorNumber2,ColorType,Counter
2284,253598,"263","BONDEBLÅ",,0,30868
2284,253464,"248","BYGDERÖD",,0,30869
2284,251741,"1442","CLARO",,0,30871
2284,253368,"5076","DALABLÅ",,0,30872
2284,252359,"1312","DUN",,0,30873
2284,592707,"1001","EGGVIT",,0,30874
2284,251948,"202","ELFENBEN",,0,30875
2284,252225,"8108","EMPIRE",,0,30876
2284,252042,"204","FERSKEN",,0,30877
2284,233519,"212","FRANSK GRÅ",,0,30878
2284,13277,"1340","GULLVIVA",,0,30881
2284,250344,"4109","GUSTAVIANSK BLÅ",,0,30882
2284,252978,"67","HARDANGERRÖD",,0,30883
2284,252777,"1335","HERRGÅRDSGUL",,0,30884
2284,253698,"24","JORDGRÖN",,0,30885
2284,250119,"1017","KEISERGUL",,0,30887
2284,252311,"1337","KORNGUL",,0,30889
2284,13642,"262","LAVENDEL",,0,30892
2284,41367,"9904","LJUSGRÅ",,0,30893
2284,251858,"471","LYS ANTIK",,0,30894
2284,252141,"1171","LYS PROVENCE",,0,30895
2284,252143,"1176","LYS TOSCANA",,0,30896
2284,251877,"254","MAGNOLIA",,0,30897
2284,252504,"206","NEVADA",,0,30901
2284,251938,"489","NEVER",,0,30902
2284,252209,"207","PERLEGRÅ",,0,30904
2284,253015,"50","RÖDOKER",,0,30906
2284,13840,"2115","ROSENROT",,0,30907
2284,252558,"4117","STADT",,0,30910
2284,253527,"8107","TELEGRÖN",,0,30911
2284,250319,"1336","TELEOKER",,0,30912
2284,41581,"1519","VANILJ",,0,30913
2284,42329,"4131","VERONIKA",,0,30916
2284,253018,"2186","VINRÖD",,0,30917
2284,12891,"384","VIT NARCISS",,0,30918
2284,253681,"396","WASABLÅ",,0,30919
2286,42229,"4143","ANEMON",,0,30920
2286,251938,"489","CAPPUCINO",,0,30921
2286,251549,"7236","CHI",,0,30922
2286,41968,"3145","CHILI",,0,30923
2286,41907,"2365","CHOKLAD",,0,30924
2286,251741,"1442","CLARO",,0,30925
2286,251640,"3154","DRÖM",,0,30926
2286,252359,"1312","DUN",,0,30927
2286,592707,"1001","EGGVIT",,0,30928
2286,234628,"8263","ELEGANS",,0,30929
2286,251942,"8196","ESSENS",,0,30930
2286,252708,"5081","FABRIK",,0,30931
2286,13481,"8199","FRISK",,0,30932
2286,197235,"3199","GLAMOUR",,0,30933
2286,252289,"731","HAMPA",,0,30935
2286,42390,"5168","ISVATTEN",,0,30938
2286,41899,"2149","KAFFE",,0,30939
2286,309326,"8264","KAKI",,0,30940
2286,309097,"4423","KÄLLA",,0,30941
2286,111185,"4424","KAMELEONT",,0,30942
2286,251581,"1624","LÄTTHET",,0,30944
2286,43042,"8200","LJUS LIME",,0,30945
2286,42156,"4099","LJUS VIOL",,0,30946
2286,251858,"471","LYS ANTIK",,0,30947
2286,252141,"1171","LYS PROVENCE",,0,30948
2286,252143,"1176","LYS TOSCANA",,0,30949
2286,253145,"1623","MARRAKESH",,0,30950
2286,233459,"1835","NOUGAT",,0,30951
2286,86341,"7340","PALMBLAD",,0,30952
2286,233091,"2477","PUDER",,0,30953
2286,4193,"1831","PUMPA",,0,30954
2286,251856,"1622","REFLEKTION",,0,30955
2286,41582,"1140","SAND",,0,30957
2286,251860,"1625","SJÄL",,0,30959
2286,41396,"2105","SKAGEN",,0,30960
2286,267684,"1823","SKANDINAVISKT LJUS",,0,30961
2286,41683,"2363","SOLID",,0,30962
2286,237894,"3200","UNIVERSUM",,0,30964
2286,41581,"1519","VANILJ",,0,30965
2286,41394,"2228","VISION",,0,30966
2286,233904,"8266","YIN",,0,30967
2299,118963,"S 0603-Y20R",,,0,30968
2299,118977,"S 0804-Y30R",,,0,30969
2299,118992,"S 0907-Y30R",,,0,30970
2299,41581,"S 1005-Y30R",,,0,30971
2299,41584,"S 1010-Y30R",,,0,30972
2299,119032,"S 1505-Y30R",,,0,30973
2299,119059,"S 1510-Y30R",,,0,30974
2299,119060,"S 1510-Y40R",,,0,30975
2299,41582,"S 2005-Y30R",,,0,30976
1157,251277,"0505-Y45R",,,0,30977
1157,110828,"0506-B92G",,,0,30978
